flight_number,date_utc,rocket,success,payloads,launchpad
122,2021-04-07T16:34:00.000Z,5e9d0d95eda69973a809d1ec,True,['60428b02c041c16716f73cde'],5e9e4501f509094ba4566f84
123,2021-04-23T09:49:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3b3adb3467846b3242173'],5e9e4502f509094188566f88
124,2021-04-29T03:44:00.000Z,5e9d0d95eda69973a809d1ec,True,['605b4be3aa5433645e37d046'],5e9e4501f509094ba4566f84
125,2021-05-04T19:01:00.000Z,5e9d0d95eda69973a809d1ec,True,['605b4befaa5433645e37d047'],5e9e4502f509094188566f88
126,2021-05-09T06:42:00.000Z,5e9d0d95eda69973a809d1ec,True,['6079bd5e9a06446e8c61bf7c'],5e9e4501f509094ba4566f84
127,2021-05-15T22:54:00.000Z,5e9d0d95eda69973a809d1ec,True,"['605b4bfcaa5433645e37d048', '609f48374a12e4692eae4667', '609f49c64a12e4692eae4668']",5e9e4502f509094188566f88
128,2021-05-26T18:59:00.000Z,5e9d0d95eda69973a809d1ec,True,['6079bd679a06446e8c61bf7d'],5e9e4501f509094ba4566f84
129,2021-06-03T17:29:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3b642b3467846b324217b'],5e9e4502f509094188566f88
130,2021-06-06T04:26:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3b57db3467846b324217a'],5e9e4501f509094ba4566f84
131,2021-06-17T16:09:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d2b6c3bb0006eeb261'],5e9e4501f509094ba4566f84
132,2021-06-30T19:31:00.000Z,5e9d0d95eda69973a809d1ec,True,['608ac397eb3e50044e3630e7'],5e9e4501f509094ba4566f84
133,2021-08-29T07:14:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3c4f2b3467846b3242193'],5e9e4502f509094188566f88
134,2021-09-14T03:55:00.000Z,5e9d0d95eda69973a809d1ec,True,['60e3bf3373359e1e20335c3c'],5e9e4502f509092b78566f87
135,2021-09-16T00:02:00.000Z,5e9d0d95eda69973a809d1ec,True,['607a382f5a906a44023e0867'],5e9e4502f509094188566f88
136,2021-11-11T02:03:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3b3bab3467846b3242174'],5e9e4502f509094188566f88
137,2021-11-13T12:40:00.000Z,5e9d0d95eda69973a809d1ec,True,['618fabf0563d69573ed8caa6'],5e9e4501f509094ba4566f84
138,2021-11-24T06:20:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3c4a6b3467846b3242192'],5e9e4502f509092b78566f87
139,2021-12-01T23:20:00.000Z,5e9d0d95eda69973a809d1ec,True,['6161d0f26db1a92bfba85355'],5e9e4501f509094ba4566f84
140,2021-12-09T06:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['61c1f395a4a2462678cbf46e'],5e9e4502f509094188566f88
141,2021-12-18T12:41:40.000Z,5e9d0d95eda69973a809d1ec,True,['61bbac16437241381bf70632'],5e9e4502f509092b78566f87
142,2021-12-19T03:58:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3c080b3467846b3242190'],5e9e4501f509094ba4566f84
143,2021-12-21T10:06:00.000Z,5e9d0d95eda69973a809d1ec,True,['6161d22a6db1a92bfba85357'],5e9e4502f509094188566f88
144,2022-01-06T21:49:00.000Z,5e9d0d95eda69973a809d1ec,True,['61d5ece4f88e4c5fc91f1ebb'],5e9e4502f509094188566f88
145,2022-01-13T15:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['6175aaacefa4314085aa9c56'],5e9e4501f509094ba4566f84
146,2022-01-19T00:04:00.000Z,5e9d0d95eda69973a809d1ec,True,['61e05516be8d8b66799018d4'],5e9e4502f509094188566f88
147,2022-01-31T23:11:12.000Z,5e9d0d95eda69973a809d1ec,True,['6161d3a06db1a92bfba8535a'],5e9e4501f509094ba4566f84
148,2022-02-02T20:18:00.000Z,5e9d0d95eda69973a809d1ec,True,['6175aaacefa4314085aa9c56'],5e9e4502f509092b78566f87
149,2022-02-03T18:13:00.000Z,5e9d0d95eda69973a809d1ec,True,['61e05520be8d8b66799018d5'],5e9e4502f509094188566f88
150,2022-02-21T14:44:00.000Z,5e9d0d95eda69973a809d1ec,True,['61fc02e1e0dc5662b76489b4'],5e9e4501f509094ba4566f84
151,2022-02-25T17:12:00.000Z,5e9d0d95eda69973a809d1ec,True,['61fc0334e0dc5662b76489b5'],5e9e4502f509092b78566f87
152,2022-03-03T14:35:00.000Z,5e9d0d95eda69973a809d1ec,True,['61fc0379e0dc5662b76489b6'],5e9e4502f509094188566f88
153,2022-03-09T13:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['61fc0382e0dc5662b76489b7'],5e9e4501f509094ba4566f84
154,2022-03-19T03:24:00.000Z,5e9d0d95eda69973a809d1ec,True,['623491e5f051102e1fcedac9'],5e9e4501f509094ba4566f84
155,2022-04-01T16:24:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243af62af52800c6e919260'],5e9e4501f509094ba4566f84
156,2022-04-08T15:17:00.000Z,5e9d0d95eda69973a809d1ec,True,['61eefb129eb1064137a1bd74'],5e9e4502f509094188566f88
157,2022-04-17T13:13:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243b036af52800c6e919262'],5e9e4502f509092b78566f87
158,2022-04-21T15:16:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243af9faf52800c6e919261'],5e9e4501f509094ba4566f84
159,2022-04-27T07:52:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243b1cdaf52800c6e919265'],5e9e4502f509094188566f88
